FN Clarivate Analytics Web of Science																														
TI Investment with a Conscience: Examining the Impact of Pro-Social																														
TI A linked hydrodynamic																														
TI Proanthocyanidins and other flavonoids in relation to pancreatic cancer:																														
TI Prediction of posthepatectomy hepatic functional reserve by serum																														
TI Associations of tea and coffee consumption with prostate cancer risk																														
TI Association of Helicobacter pylori infection and diet on the risk of																														
TI Assessing the feasibility of a global model for multi-temporal burned																														
TI To Go or Not to Go Pedestrian Behavior at Intersections with Standard																														
TI Forecasting maturity of green peas: An application of neural networks																														
TI Real-time PCR detection of pathogenic microorganisms in roof-harvested																														
TI The water footprint of biofuel produced from forest wood residue via a																														
TI A Meta-Analysis of Environmentally Sustainable Supply Chain Management																														
TI Investigation of organic matter dynamics during in-vessel composting of																														
TI Fruit and vegetable consumption is inversely associated with having																														
TI Gene-gene interactions contribute to eye colour variation in humans																														
TI Greenspace and children's physical activity: A GPS/GIS analysis of the																														
TI Effect of restricted sight distances on driver behaviors during																														
TI Severe Periodontitis Is Inversely Associated with Coffee Consumption in																														
TI Impact of maximum sustainable yield on mutualistic communities																														
TI External Built Residential Environment Characteristics that Affect																														
TI Determinants of the decision to adopt improved maize variety by																														
TI Population Versus Hospital Controls in the Assessment of Dietary Intake																														
TI Factors influencing the adoption of pasture crop rotation in the																														
TI Hyperspectral indices for assessing damage by the solenopsis mealybug																														
TI Determination of the inhibitory concentration 50 % (IC50) of four																														
TI Relationship Between Coffee Consumption and Prevalence of Metabolic																														
TI Annual Bluegrass (Poa annua) Control in Glyphosate-Resistant Perennial																														
TI Expression analysis and study of KLK4 in benign and malignant breast																														
TI Microbial community structure changes during bioremediation of PAHs in																														
TI Greater vegetable and fruit intake is associated with a lower risk of																														
TI Fruits																														
TI Ecological modelling of habitat use and the annual activity patterns in																														
TI Modeling on chlorophyll a and phycocyanin production by Spirulina																														
TI Resting spore formation of aphid-pathogenic fungus Pandora nouryi																														
TI Abundance of two threatened woodpecker species in relation to the																														
TI WSSV risk factors related to water physico-chemical properties and																														
TI Neighbourhood safety and area deprivation modify the associations																														
TI Associations of Residential Density with Adolescents' Physical Activity																														
TI Dietary patterns and breast cancer risk in the Shanghai breast cancer																														
TI Suboptimal treatment adherence in bipolar disorder: impact on clinical																														
TI Violence against Women and Gastroschisis: A Case-Control Study																														
TI The lifetime of CFC substitutes studied by a network trained with																														
TI Socio-demographic and clinical factors influencing the adherence to																														
TI Association of Genetic Variation on Chromosome 9p21 with Polypoidal																														
TI Determinants and correlates of serum undercarboxylated osteocalcin																														
TI Antifouling activity of synthetic gamma-hydroxybutenolides																														
TI Are supplier selection criteria going green? Case studies of companies																														
TI The Impact of Information System-Enabled Supply Chain Process																														
TI Genetic Variants in PNPLA3 and Risk of Non-Alcoholic Fatty Liver Disease																														
TI Characteristics and risk factors for symptomatic Giardia lamblia																														
TI Phenology of a northern hardwood forest canopy																														
TI Growth and nutrient removal in free and immobilized planktonic green																														
TI Herders' willingness to accept versus the public sector's willingness to																														
TI Consumption rate																														
TI RPSA Gene Mutants Associated with Risk of Colorectal Cancer among the																														
TI Interaction of soy food and tea consumption with CYP19A1 genetic																														
TI Maternal Caffeine Consumption and Risk of Neural Tube Defects																														
TI Estimation of dietary folic acid intake in three generations of females																														
TI Coffee consumption and type 2 diabetes mellitus																														
TI Waste-solvent management as an element of green chemistry: A																														
TI Neighborhood built environment and physical activity of Japanese older																														
TI Consumption of foods rich in flavonoids is related to a decreased																														
TI Susceptibility of Red Rice Biotypes and Commercial Rice Cultivars to																														
TI Characteristics of physical activity levels among trail users in a US																														
TI Smoking and alcohol drinking increased the risk of esophageal cancer																														
TI Estimation of pruned biomass form dendrometric parameters on urban																														
TI Tea and Coffee Consumption and MRSA Nasal Carriage																														
"TI Determining advanced recycling fees and subsidies in ""E-scrap"" reverse"																														
TI Study on the use of a smart pillbox to improve treatment compliance																														
TI The joint effect of oxidative stress and antioxidants on the risk of an																														
TI Supply network synthesis on rubber seed oil utilisation as potential																														
TI Sustainable and Resilient Supply Chain Network Design under Disruption																														
TI TCF7L2 expression in diabetic patients undergoing bariatric surgery																														
TI Shaping the landscape: Fire-grazer interactions in an African savanna																														
TI Evaluation of Dietary and Life-Style Habits of Patients with Gastric																														
TI Intake of fruits and vegetables and polymorphisms in DNA repair genes in																														
TI A MULTISCALE APPROACH TO UNDERSTANDING SNAKE USE OF CONSERVATION BUFFER																														
TI A framework for standardized management of intrapartum fetal heart rate																														
TI Anuran Habitat Associations in the Northern Chihuahuan Desert																														
TI Mobile receivers: releasing the mooring to 'see' where fish go																														
TI Quorum Activation at a Distance: Spatiotemporal Patterns of Gene																														
TI Urinary polyphenols and breast cancer risk: results from the Shanghai																														
TI Recycling of gold from electronics: Cost-effective use through 'Design																														
TI Dietary risk factors for hypopharyngeal cancer in India																														
TI Growth Stage-Influenced Differential Response of Foxtail and Pigweed																														
TI Where to deliver baits for deworming urban red foxes for Echinococcus																														
TI Crop production for biogas and water protection-A trade-off?																														
TI Seasonal Variation in Fruit and Vegetable Consumption in a Rural																														
TI LOCALIZED SEPTORIA LEAF BLOTCH LESIONS IN WINTER WHEAT FLAG LEAF DO NOT																														
TI 'Here comes the sun': pigmentary traits and sun habits in women with																														
TI Herbal products use during pregnancy: prevalence and predictors																														
TI Liver Stiffness Value-Based Risk Estimation of Late Recurrence after																														
TI Prevalence																														
TI Natural Environments																														
TI Coffee and tea consumption and endometrial cancer risk in a																														
TI Compliance and satisfaction with raloxifene versus alendronate for the																														
TI PLA2G4A mutants modified protective effect of tea consumption against																														
TI The Novel Member of the BCL2 Gene Family																														
TI Self-control of traffic lights and vehicle flows in urban road networks																														
TI Risk and protective factors for development of colorectal polyps and																														
TI Patients' beliefs about long-term glucocorticoid therapy and their																														
TI Normalization of uncalibrated late-season digital aerial imagery for																														
TI Dietary flavonoid intake and lung cancer - A population-based																														
TI Association of Perception of Front-of-Pack Labels with Dietary																														
TI Effect of location in the canopy on the colour development of three																														
TI Effects of black and green tea consumption on blood glucose levels in																														
TI Quality or quantity? Exploring the relationship between Public Open																														
TI Summer variability																														
TI Nitrogen per unit leaf area affects the upper asymptote of Puccinia																														
TI Instant coffee consumption may be associated with higher risk of																														
TI Aphid dispersal flight disseminates fungal pathogens and parasitoids as																														
TI Evaluation of nutritive value and in vitro rumen fermentation gas																														
TI Sustainable SC through the complete reprocessing of end-of-life products																														
TI The Association Between Use of Dietary Supplements and Headache or																														
TI Sports facilities in Madrid explain the relationship between																														
TI Interaction of geomorphic and ecologic features across altitudinal zones																														
TI From landfill to water																														
TI Disparate outcomes in pediatric peritoneal dialysis patients by																														
TI Nutritional and Weight Management Behaviors in Low-Income Women Trying																														
TI Evaluation of the effect of dietary vegetable consumption on reducing																														
TI Expression analysis and clinical utility of L-Dopa decarboxylase (DDC)																														
TI When functional habitat does not match vegetation types: A																														
TI A bean-free diet increases the risk of all-cause mortality among																														
TI Tea Consumption and Risk of Breast Cancer																														
TI Environmental management system certification and its influence on																														
TI Econometric analysis of the determinants of adoption of rainwater																														
TI Glaucoma risk and the consumption of fruits and vegetables among older																														
TI The Association Between Sport Participation and Dietary Behaviors Among																														
TI Tea consumption and cognitive impairment and decline in older Chinese																														
TI Correlation of cerebrovascular symptoms and microembolic signals with																														
TI Tea																														
TI Adverse Outcomes in Patients with Postoperative Ascites after Liver																														
TI Neighborhood Greenness and 2-Year Changes in Body Mass Index of Children																														
TI Dietary patterns in urban Ghana and risk of type 2 diabetes																														
TI Adherence to treatment																														
TI Raw Garlic Consumption as a Protective Factor for Lung Cancer																														
TI Sustainable purchasing and supply management: a structured literature																														
TI Roost tree use by maternity colonies of Indiana bats and northern																														
TI Effects of salvage logging on avian nest survival in beetle-killed																														
TI Predicting risks of invasion of macroalgae in the genus Caulerpa in																														
TI Dietary patterns of rural older adults are associated with weight and																														
TI Assessment of aphid host range and isolate variability in Pandora																														
TI Farm Management																														
TI Vertical changes in the probability distribution of downward irradiance																														
TI Sensible operational choices for the climate change agenda																														
TI Clinical significance of low serum magnesium in pregnant women attending																														
TI The effect of risk perception on public preferences and willingness to																														
TI Social dimensions related to anaemia among women of childbearing age																														
TI Iron intake does not significantly correlate with iron deficiency among																														
TI Dietary folate intake																														
TI Prevalence and risk factors for self-reported asthma in an adult Indian																														
TI Design of forest energy supply networks using multi-objective																														
TI The formation																														
TI Genetic Polymorphisms in Nitric Oxide Synthase Genes Modify the																														
TI Evaluation of primary models to describe the growth of Pichia anomala																														
TI Dietary patterns and metabolic syndrome in a Japanese working population																														
TI Prevalence and predictive factors of diabetes in hepatitis virus																														
TI Validating satellite phenology through intensive ground observation and																														
TI Exploring consumer adoption of a high involvement eco-innovation using																														
TI Late-season digital aerial imagery and stalk nitrate testing to estimate																														
TI The Association of Consumption of Fruits/Vegetables With Decreased Risk																														
TI Energy Recovery from Sugarcane-Trash in the Light of 2nd Generation																														
TI Classification of pre-sliced pork and Turkey ham qualities based on																														
TI Increased Caffeine Consumption Is Associated with Reduced Hepatic																														
TI Gargling with tea catechin extracts for the prevention of influenza																														
TI Fluid intake																														
TI The Clinical Behavior of Transplantable Recurrent Hepatocellular																														
TI SGA Scores Have Poor Correlation With Serum Albumin in Obese																														
TI Determining and applying sustainable supplier key performance indicators																														
TI Frequency of symptomatic trees removal in small citrus blocks on citrus																														
TI Crustal structure of Australia from ambient seismic noise tomography																														
TI Associations of Complement Factor H (CFH) and Age-Related Maculopathy																														
TI Modeling effects of soil																														
TI Functional liver reserve parameters predictive for posthepatectomy																														
TI Role of free school lunch in the associations between																														
TI Indoor air pollution and risk of lung cancer among Chinese female																														
TI Quantitative expression analysis and study of the novel human																														
TI Rapid-fire fulfillment																														
TI Coffee has hepatoprotective benefits in Brazilian patients with chronic																														
TI HEDONIC RESPONSES AND INDIVIDUAL DEFINITIONS OF AN IDEAL APPLE AS																														
TI Maternal tea consumption during early pregnancy and the risk of spina																														
TI Postnatal growth patterns in eight species of herons and egrets																														
TI Dietary Factors and Risk of Pancreatic Cancer: a Multi-Centre																														
TI Ecotoxicity and biodegradability of an alkyl ethoxysulphate surfactant																														
TI Effects of a Rest-Rotation Grazing System on Wintering Elk Distributions																														
TI From precommissioning to startup: Getting chemical injection right																														
TI Impact of Tax Reduction Policies on Consumer Purchase of New																														
TI Risk Factors for Development of Full-Thickness Macular Holes After Pars																														
TI Occurrence of Harmonia axyridis (Coleoptera: Coccinellidae) in field																														
TI Shear wave structural models of Venice Plain																														
TI Assessment of algal farm designs using a dynamic modular approach																														
TI An empirical probability model of detecting species at low densities																														
TI Illness behaviour and antibiotic prescription in patients with																														
TI Normal color variations of the canine ocular fundus																														
TI Risk factors for small-for-gestational-age infants by customised																														
TI DOSE-RESPONSE REGRESSIONS FOR ALGAL GROWTH AND SIMILAR CONTINUOUS																														
TI Spring and summer habitat preferences of little bustard in an																														
TI Dietary diversification for prevention of anaemia among women of																														
TI Modeling morphological dynamics and color characteristics of rice																														
TI A comparison of multiple phenology data sources for estimating seasonal																														
TI Efficacy of trap and lure types for detection of Agrilus planipennis																														
TI Total fluid and specific beverage intake and risk of renal cell																														
TI Nitrogen leaching losses after biogas residue application to maize																														
TI Farm-Level Risk Factors for Fish-Borne Zoonotic Trematode Infection in																														
TI An evaluation of Winnipeg's photo enforcement safety program: Results of																														
TI Diffuse retinal pigment epitheliopathy among the inhabitants of																														
TI Dietary magnesium intake is related to metabolic syndrome in older																														
TI Time 2 tlk 2nite: Use of Electronic Media by Adolescents during Family																														
TI The needle and the damage done: Clinical and behavioural markers of																														
TI Factors influencing zinc status of apparently healthy Indians																														
TI Increased RANKL/OPG mRNA ratio in iliac bone biopsies from women with																														
TI Tea and coffee consumption and risk of oral cavity cancer: Results of a																														
TI Greater intake of fruit and vegetables is associated with lower risk of																														
TI Diet																														
TI Clustering of and Risk Factors for the Porcine High Fever Disease in a																														
TI Patterns of plant traits in annual vegetation of man-made habitats in																														
TI Framing sustainability performance of supply chains with																														
TI An accurate predictor of liver failure and death after hepatectomy: A																														
TI Use of gradient plates to study combined effects of temperature																														
TI Oxygen dynamics of aquatic Closed Ecological Systems: Comparing the																														
TI Intake of food groups and idiopathic asthenozoospermia: a casecontrol																														
TI Prevalence and Correlates of Vitamin and Supplement Usage Among Men With																														
TI Vegetables																														
TI CK19																														
TI Food-frequency questionnaire-based estimates of total antioxidant																														
TI Associations Between Environmental Characteristics and Active Commuting																														
TI Personal and Environmental Characteristics Associated with Choice of																														
TI Smoking																														
TI Ethnicity and Cutaneous Melanoma in the City of Sao Paulo																														
TI Epidemiology of recreational exposure to freshwater cyanobacteria - an																														
TI Tea consumption																														
TI Simulated wetland conservation-restoration effects on water quantity and																														
TI Association between dietary calcium and vitamin D intake and cervical																														
TI Tear film																														
TI Optimization of The Electroporation Conditions for Transfection of Human																														
TI Growth of captive leatherback turtles																														
TI Europe's top 10 invasive species: relative importance of climatic																														
TI Use of summer harvested common reed (Phragmites australis) as nutrient																														
TI The common occurrence of epistasis in the determination of human																														
TI Ambulatory-Based Standardized Therapy for Multi-Drug Resistant																														
TI Viral DNA load																														
TI Estimating grizzly bear distribution and abundance relative to habitat																														
TI Associations between neighbourhood environmental characteristics and																														
AB Survival of the green fluorescent protein-transformed human pathogens Escherichia coli O157:H7 and Salmonella enterica serovar Typhimurium was studied in a laboratory-simulated lettuce production chain. Dairy cows were fed three different roughage types: high-digestible grass silage plus maize silage (6:4)	 low-digestible grass silage	 and straw. Each was adjusted with supplemental concentrates to high and low crude protein levels. The pathogens were added to manure	 which was subsequently mixed (after 56 and 28 days for E. coli O157:H7 and Salmonella serovar Typhimurium	 respectively) with two pairs of organically and conventionally managed loamy and sandy soil. After another 14 days	 iceberg lettuce seedlings were planted and then checked for pathogens after 21 days of growth. Survival data were fitted to a logistic decline function (exponential for E. coli O157:H7 in soil). Roughage type significantly influenced the rate of decline of E. coli O157:H7 in manure	 with the fastest decline in manure from the pure straw diet and the slowest in manure from the diet of grass silage plus maize silage. Roughage type showed no effect on the rate of decline of Salmonella serovar Typhimurium	 although decline was significantly faster in the manure derived from straw than in the manure from the diet of grass silage plus maize silage. The pH and fiber content of the manure were significant explanatory factors and were positively correlated with the rate of decline. With E. coli O157:H7 there was a trend of faster decline in organic than in conventional soils. No pathogens were detected in the edible lettuce parts. The results indicate that cattle diet and soil management are important factors with respect to the survival of human pathogens in the environment.																							
AB Objectives: To determine the prevalence of leukoplakia	" oral submucous fibrosis and papilloma among ""Green Marble Mines"" laborer and uncover its relation with occupational stress."																													
AB Understanding of the shoot growth pattern and precise determination of flush maturation time is the key to targeted management of flush cycle	 which is important for productivity of litchi. In this study	 the shoot growth rhythm and changes in leaf greenness and functionality in developing leaves were studied for two consecutive years in litchi (Litchi chinensis Sonn.)	 a typical tree species with delayed greening leaves. Two cultivars 'Baili' and 'Heiye' with significant difference in leaf greenness were compared. The study showed that the shoot growth was cyclic but the stem expansion continued until winter. Leaf greenness	 indicated by SPAD value	 increased with leaf maturation following a modified logistic model. The asymptotic deceleration point (PDA) was assumed as the full maturity point of the new leaves	 when their SPAD value had increased to 90% of its maximum (V-max). The average SPAD values at PDA were 45 and 31 in 'Heiye' and 'Baili'	 respectively. At this point	 maximal net CO2 assimilation (A) and photochemical efficiency of photosystem II (PSII) (Fv/Fm) were attained. The average growing degree days (GDD) for flush growth from bud break till SPAD value reached PDA across seasons were similar in 'Baili' and 'Heiye' (587.4 degrees D vs 546.7 degrees D). It was concluded that the apical meristem of litchi alternates between resting and active states	 while the vascular cambium maintains active state throughout the growth season. SPAD meter provides a rapid and non-destructive technique to indicate the flush maturity of litchi with delayed greening leaves. Thermal time for flush growth was not significantly different between the two cultivars despite their great difference in leaf greenness. (C) 2014 Elsevier B.V. All rights reserved.																					
AB Bicycles and transit systems are considered robe the pinnacle of green transportation. The combined use of the two could provide a competitive alternative for an integrated	 green	 and seamless service	 yet relatively few studies have investigated the multimodal integration problems of the entire service chain from the perspective of users. Users' perceived inconvenience during travel can be regarded as a latent construct that describes an unobservable and immeasurable characteristic. Nevertheless	 the traditional Likert method in an ordinal scale causes a misleading statistical inference. The Rasch model eliminates such bias generated by an ordinal scale through a logistic linear transformation	 and it compares person parameters with item parameters	 which are then subjected to a logarithmic transformation along a logit scale to clearly identify which service items' inconvenience cannot be easily overcome by certain users. This empirical study demonstrates that perceived inconveniences differ based on the users' sex	 riding frequency	 trip purpose	 and environmental awareness. The differential item functioning analysis that was adopted in this study can identify the critical factors leading to the differences in perceived inconvenience. Our empirical results suggest that a male cyclist who is a commuter with a high monthly riding frequency and who is environmentally conscious has a better ability than their counterpart to overcome perceived inconveniences during travel using a bicycle-transit service. To effectively mitigate users' perceived inconvenience	 the Rasch analytical results suggest that the improvement of the intra-transit system factors in the short term and the improvement of external environmental factors in the long term will be successful. The information herein proves useful for transportation planners and policy makers when considering the special travel needs of certain groups to create a user-friendly bicycle-transit travel environment that promotes its usage. (C) 2012 Elsevier Ltd. All rights reserved.																				
AB Capsule Suburban House Sparrows prefer gardens with native bushes but show no detectable response to garden insecticide use.																														
AB Background: Ischemic heart disease (IHD) is a leading cause of death in India. Dietary changes could reduce risk	 but few studies have addressed the association between diet and IHD risk in India.																													
AB This article describes the development of a geographic information systems (GIS) based biomass transport analysis tool BIT-UU used in combination with the European renewable energy model Green-X. BIT-UU calculates cost and GHG emissions from lowest cost routes	 using intermodal transport (by road	 rail	 inland waterways and sea) between origins of supply and demand destinations. With the developed biomass trade module in Green-X	 the role of bioenergy can be evaluated in the larger context of renewable energy deployment. The modeling framework takes into account the current and future energy policies at EU and country levels	 competition with alternative sources of renewable energy (e.g. photovoltaic	 wind) and sectors (electricity	 heat	 transport fuels) as well as competition between EU member states for the same biomass resources. Scenario projections to 2020 are used to demonstrate the developed modeling framework. According to these scenarios	 biomass from domestic supply remains the most important source of bioenergy (91-93% in 2020). However	 the role of traded solid biomass will become increasingly important. With a business as usual scenario	 assuming continuation of current renewable energy policies to 2020	 the binding renewable energy targets will not be achieved	 but trade of solid biomass will still Increase up to 451 PJ in 2020. In the scenario that meets the conditions to achieve the 20% renewable energy target in 2020	 traded solid biomass is projected to increase to 440 PJ if sustainability criteria are applied (minimum GHG saving) and 506 PJ without these sustainability regulations. Because imports of solid biomass from outside the EU are projected to become larger than intra-EU trade in the scenarios	 the scenarios show the importance of improving the representation of extra-EU biomass sources and trade in the modeling framework. (C) 2014 Elsevier Ltd. All rights reserved.															
AB Background: Research on the association between fruit and vegetable intake and risk of colorectal adenoma is inconclusive.																														
AB AIM: To evaluate the association and interaction of genetic polymorphisms in methylenetetrahydrofolate reductase (MTHER) and cytochrome P4502E1 (CY-P4502E1)	 environment risk factors with esophageal cancer (EC) in Kazakh	 a high EC incidence area of Xinji-ang Uygur Autonomous Region	 China.																											
AB BACKGROUND: Acute liver failure (ALF) is an acute severe deterioration of liver function with high mortality. Early and accurate prognostic assessment of patients with ALF is critically important. Although the model for end-stage liver disease (MELD) scores and King's College Hospital (KCH) criteria are well-accepted as predictive tools	 their accuracy is unsatisfactory. The indocyanine green (ICG) clearance test (ICGR15	 ICG retention rate at the 15 minutes) is a sensitive indicator of liver function. In this study	 we investigated the efficacy of the ICGR15 for the short-term prognosis in patients with ALF. We compared the predictive value of ICGR15 with the MELD scores and KCH criteria.																											
AB Freight transport has undesirable effects on the environment. The most prominent of these is greenhouse gas emissions. Intermodal freight transport	 where freight is shipped from origin to destination by a sequence of at least two transportation modes	 offers the possibility of shifting freight (either partially or in full) from one mode to another in the hope of reducing the greenhouse emissions by appropriately scheduling the services and routing the freight. Traditional planning methods for scheduling services in an intermodal transportation network usually focus on minimizing travel or time-related costs of transport. This article breaks away from such an approach by addressing the issue of incorporating environment- related costs (greenhouse gases	 to be specific) into freight transportation planning and proposes an integer program in the form of a linear cost	 multicommodity	 capacitated network design formulation that minimizes the amount of greenhouse gas emissions of transportation activities. Computational results based on an application of the proposed approach on a real-life rail freight transportation network are presented. Journal of the Operational Research Society (2010) 61	 530-542. doi: 10.1057/jors.2009.102 Published online 23 September 2009																								
AB The findings from an inductive study conducted in the United States and Europe focused on sustainability implementation efforts across supply chains are reported. In particular	 the study focuses on developing a better understanding of: how do companies involve other members of their supply chain into their sustainability efforts? Building upon themes that emerged from the data	 a typology for the supply chain implementation of sustainability initiatives is proposed. A lack of supply chain integration was identified and companies reported a tendency toward a mandated implementation when extending efforts across companies. These efforts are generally initiated by the dominant companies and then forced onto the weaker upstream members. The data suggests that the merits of these initiatives are viewed as being disproportionately awarded to the dominant firm and thus did not receive full buy-in from the other party. A common vision by both sides of this relationship is to develop a more collaborative implementation that can be supported by all the involved parties. In theoretical implications	 empirical findings are viewed through the lens of several prominent management theories in order to augment and elaborate current theory. Managerial implications	 limitations	 and opportunities for further research are detailed.																									
AB Aim. To estimate a diagnostic algorithm for anxiodepressive disorders (ADD) in coronary patients in general therapeutic practice.																														
AB How can societies ensure urban residents' access to health-promoting green spaces while also pursuing the benefits of densification? Evidence of a relationship between leisure home ownership and health can inform efforts to resolve this dilemma. Using longitudinal register data	 we assessed the prospective association between ownership of a leisure home and early retirement for health reasons among 42 588 adults residing in high-density Swedish urban municipalities. The research design included controls for 'drift' of unhealthy people into particular residential circumstances	 and other potential alternative explanations for the association of focal interest. After adjustment for age	 socioeconomic position	 and type of primary housing	 logistic regression analysis revealed that men with a leisure home had lower odds of early retirement for health reasons than men who did not own a leisure home. Among women	 leisure home ownership interacted with socioeconomic position; in contrast to nonowners	 women who owned a leisure home had higher odds of early retirement for health reasons if they also had higher levels of education and employment income. The associations we have uncovered provide additional insight on the relationship between access to natural environments and health	 and they warrant consideration in efforts to resolve the densification dilemma.																						
AB Tea drinking has been suggested to be beneficial in neurodegenerative diseases where depressive mood is a common symptom. Nevertheless	 it is not known whether there are any associations between tea drinking and depression in general populations. In this study we investigated these associations in a sample of the Finnish general population (n = 2011) using a postal questionnaire and the Beck Depression Inventory (BDI). Those who reported drinking tea daily were less depressed than the others. They had a lower mean BDI score and also a lower prevalence of depression. None of those whose daily tea intake was five cups or more had depression. Several potential confounding factors were included in the final sex- and age-adjusted multivariate logistic regression model which suggested that those who drink tea daily may have a significantly reduced risk of being depressed (adjusted odds ratio 0.47	 95 confidence interval 0.27-0.83). In conclusion	 an inverse relationship between daily tea drinking and the risk of being depressed was found in a relatively large general population sample. Nevertheless	 the underlying mechanisms are unresolved and further studies are needed.																										
AB A significant number of physicians from developing nations emigrate to developed nations in search of better career opportunities. In addition to crippling the health systems of developing nations	 the emigration of physicians from sub-Saharan African (SSA) countries results in a loss of return on investment to these nations. The purpose of this study was to identify the relationship between career satisfaction and the intention of active Ghanaian physicians to leave the country within the next 5 years.																													
AB Objective																														
AB Background: Helicobacter pylori infection is very common worldwide.																														
AB Depression has been reported to be more prevalent among diabetic patients than non-diabetic individuals. Although depression and diabetes are causally and bi-directionally related	 the influence of food intake frequency on depressive symptoms. in diabetic patients has not been fully evaluated. This cross-sectional study analyzed data obtained from 89 patients with type 2 diabetes who completed self-administered questionnaires regarding food intake frequency	 diabetic variables	" physical activity and depressive states. The prevalence of a ""definite"" depressive state was 16.9%. The duration of diabetes"	 hemoglobin A1c levels	 diabetic microvascular complications and physical activity levels were similar between depressed and non-depressed patients. Daily intakes of total lipids	 n-6 polyunsaturated fatty acids and lipid energy ratios were significantly lower	 and the carbohydrate energy ratio was significantly higher in depressed than in non-depressed patients. Coffee consumption was inversely associated with depressive symptoms	 but no significant association was found between tea or green tea consumption and depressive symptoms. The logistic regression analysis showed that coffee consumption was an independent predictor of non-depressed status in diabetic patients. This might be due to biologically active compounds containing in coffee other than caffeine.																						
AB Conservation subdivisions have emerged as a development option for communities wishing to conserve important ecological features and maintain rural character without decreasing housing density. Yet	 these alternatives to conventional subdivisions rarely are used. We used logistic regression models to identify variables that predict county level success at adopting an ordinance and having a conservation subdivision built. Important predictors for adopting ordinances were median income	 percent urban population	 and a negative interaction between the two variables; important predictors for successfully completing a conservation subdivision were the adoption of an ordinance allowing conservation subdivisions and percent of residents with at least a four year college degree. Urban counties and the rural counties with higher median income were most successful adopting ordinances. Urban counties with higher education levels and an ordinance in place were most likely to have a conservation subdivision built within them. In poor rural counties	 implementation may be more difficult because of limited resources to develop ordinances; these counties could collaborate with land trusts	 other planning departments	 or a regional council of governments to help lessen the financial burden associated with rewriting ordinances and implementing new land use practices. (C) 2012 Elsevier Ltd. All rights reserved.																								
